pregunta,rta_1,rta_2,rta_3,rta_4,rta_correcta
¿Cuál de estos discos NO es de Taylor Swift?,Red,The Game,Reputation,1989,2
¿Cuál de estos discos NO es de Adele?,21,Abbey Road,19,25,2
¿Cuál de estos discos NO es de Queen?,The Game,1989,A Night at the Opera,Jazz,2
¿Cuál de estos discos NO es de The Beatles?,X&Y,Revolver,Let It Be,Abbey Road,1
¿Cuál de estos discos NO es de Dua Lipa?,Radical Optimism,Dua Lipa,Future Nostalgia,Abbey Road,4
¿Cuál de estos discos NO es de Drake?,Views,Scorpion,Certified Lover Boy,21,4
¿Cuál de estos discos NO es de BTS?,BE,Map of the Soul: 7,Wings,Let It Be,4
¿Cuál de estos discos NO es de Coldplay?,Jazz,Parachutes,A Rush of Blood to the Head,X&Y,1
¿Cuál de estos discos NO es de Lady Gaga?,Joanne,The Fame,Parachutes,Born This Way,3
¿Cuál de estos discos NO es de Kanye West?,Graduation,Yeezus,The Life of Pablo,Viva la Vida,4
¿Quién es el/la artista del disco 'Graduation'?,Coldplay,BTS,Dua Lipa,Kanye West,4
¿Quién es el/la artista del disco 'Revolver'?,Adele,Lady Gaga,The Beatles,Taylor Swift,3
¿Quién es el/la artista del disco '1989'?,Drake,Kanye West,Taylor Swift,The Beatles,3
¿Quién es el/la artista del disco 'Jazz'?,Drake,Queen,Dua Lipa,The Beatles,2
¿Quién es el/la artista del disco 'BE'?,Dua Lipa,Lady Gaga,Adele,BTS,4
¿Quién es el/la artista del disco 'Viva la Vida'?,Coldplay,Kanye West,BTS,Queen,1
¿Quién es el/la artista del disco 'Rubber Soul'?,The Beatles,Coldplay,Kanye West,Dua Lipa,1
¿Quién es el/la artista del disco 'Map of the Soul: 7'?,Lady Gaga,Adele,BTS,The Beatles,3
¿Quién es el/la artista del disco 'A Night at the Opera'?,Queen,Lady Gaga,Drake,Dua Lipa,1
¿Quién es el/la artista del disco 'Abbey Road'?,Kanye West,The Beatles,Coldplay,Dua Lipa,2
¿Quién es el/la artista del disco 'Scorpion'?,Queen,Adele,Dua Lipa,Drake,4
¿Quién es el/la artista del disco 'Views'?,The Beatles,Taylor Swift,Lady Gaga,Drake,4
¿Quién es el/la artista del disco '30'?,Dua Lipa,Adele,Queen,Lady Gaga,2
¿Quién es el/la artista del disco 'News of the World'?,Taylor Swift,Adele,Queen,Lady Gaga,3
¿Quién es el/la artista del disco 'Donda'?,Kanye West,Queen,Drake,The Beatles,1
¿Quién es el/la artista del disco 'Wings'?,Dua Lipa,Coldplay,Drake,BTS,4
¿Quién es el/la artista del disco 'The Game'?,Queen,Lady Gaga,Adele,Taylor Swift,1
¿Quién es el/la artista del disco 'Club Future Nostalgia'?,Lady Gaga,BTS,Dua Lipa,Coldplay,3
¿Quién es el/la artista del disco '19'?,BTS,Adele,Coldplay,Lady Gaga,2
¿Quién es el/la artista del disco 'Born This Way'?,Coldplay,The Beatles,BTS,Lady Gaga,4
¿Quién es el/la artista del disco 'Red'?,Dua Lipa,Taylor Swift,Coldplay,Drake,2
¿Quién es el/la artista del disco '25'?,Dua Lipa,The Beatles,BTS,Adele,4
¿Quién es el/la artista del disco 'Joanne'?,Kanye West,Coldplay,Lady Gaga,The Beatles,3
¿Quién es el/la artista del disco 'The Life of Pablo'?,The Beatles,Taylor Swift,Lady Gaga,Kanye West,4
¿Quién es el/la artista del disco 'Radical Optimism'?,Coldplay,Dua Lipa,Taylor Swift,Adele,2
¿Quién es el/la artista del disco 'Future Nostalgia'?,Coldplay,Kanye West,Dua Lipa,Taylor Swift,3
¿Quién es el/la artista del disco 'Nothing Was the Same'?,Queen,BTS,Lady Gaga,Drake,4
¿Quién es el/la artista del disco 'Reputation'?,The Beatles,Lady Gaga,Coldplay,Taylor Swift,4
¿Quién es el/la artista del disco 'Lover'?,Taylor Swift,BTS,Dua Lipa,Adele,1
¿Quién es el/la artista del disco 'Love Yourself: Answer'?,Kanye West,BTS,Queen,Drake,2
¿Quién es el/la artista del disco 'A Rush of Blood to the Head'?,Kanye West,Coldplay,Drake,Lady Gaga,2
¿Quién es el/la artista del disco 'X&Y'?,Coldplay,Drake,Kanye West,Dua Lipa,1
¿Quién es el/la artista del disco 'Let It Be'?,The Beatles,Queen,Lady Gaga,Taylor Swift,1
¿Quién es el/la artista del disco 'Yeezus'?,The Beatles,Kanye West,Taylor Swift,Coldplay,2
¿Quién es el/la artista del disco 'Dua Lipa'?,Dua Lipa,Adele,Coldplay,Lady Gaga,1
¿Quién es el/la artista del disco '21'?,Drake,The Beatles,Coldplay,Adele,4
¿Quién es el/la artista del disco 'Certified Lover Boy'?,BTS,Drake,Adele,Taylor Swift,2
¿Quién es el/la artista del disco 'Chromatica'?,Drake,Coldplay,The Beatles,Lady Gaga,4
¿Quién es el/la artista del disco 'The Fame'?,Kanye West,Queen,Drake,Lady Gaga,4
¿Quién es el/la artista del disco 'Parachutes'?,Drake,BTS,Queen,Coldplay,4
¿Cuál de estos géneros no es un subgénero del rock?,Indie,Grunge,Trap,Punk,3
¿Cuál es un género característico de la música latina?,Trap,Reggaetón,Blues,Funk,2
¿Qué género es conocido por su uso de sintetizadores?,Reggae,Synthpop,Folk,Salsa,2
¿Cuál de estos géneros es originario de Jamaica?,Reggae,Flamenco,Hip-hop,Jazz,1
¿Cuál de estos géneros musicales se originó en Estados Unidos?,K-pop,Samba,Blues,Afrobeat,3
¿Cuál de estos artistas es argentino?,Luis Miguel,Charly García,Juanes,Celia Cruz,2
¿Quién fue el líder de la banda Soda Stereo?,Gustavo Cerati,Fito Páez,Vicentico,Pedro Aznar,1
¿Qué banda popularizó el rock en español desde Argentina?,Soda Stereo,Los Prisioneros,Caifanes,La Ley,1
¿Qué cantante argentino es conocido por el álbum 'El amor después del amor'?,Fito Páez,Andrés Calamaro,Spinetta,Charly García,1
¿Qué banda ha ganado más premios Grammy?,The Beatles,U2,Coldplay,Metallica,2
¿Quién ha ganado más premios Grammy en la historia?,Beyoncé,Michael Jackson,U2,Stevie Wonder,1
¿Qué compositor es autor de la 'Quinta Sinfonía'?,Mozart,Beethoven,Bach,Chopin,2
¿En qué década surgió el rock and roll?,1940s,1950s,1960s,1970s,2
¿Qué artista ganó el Grammy al Álbum del Año en 2023?,Harry Styles,Beyoncé,Adele,Bad Bunny,1
¿Cuál de estos músicos es un ícono del reggae?,Bob Marley,Jimi Hendrix,James Brown,Stevie Wonder,1
¿Qué instrumento es típico del tango?,Bandoneón,Gaita,Arpa,Sitar,1
¿Cuál de estos instrumentos es de cuerda?,Flauta,Violín,Trompeta,Batería,2
¿Qué instrumento se usa en el jazz tradicional?,Saxofón,Xilófono,Acordeón,Flauta,1
¿Quién compuso la ópera 'La Traviata'?,Puccini,Mozart,Verdi,Wagner,3
¿Qué artista argentino fue parte de Almendra?,Luis Alberto Spinetta,Fito Páez,Gustavo Cerati,León Gieco,1
¿Qué canción es de Mercedes Sosa?,Gracias a la vida,Colgando en tus manos,Te regalo,Bachata rosa,1
¿Quién es el/la artista del disco 'Scorpion'?,The Weeknd,Drake,Travis Scott,Post Malone,2
¿Cuál de estos discos NO es de Adele?,25,19,Midnights,21,3
¿Qué artista es conocida por 'Future Nostalgia'?,Dua Lipa,Ariana Grande,Rosalía,Charli XCX,1
¿Qué banda lanzó el álbum 'A Night at the Opera'?,The Beatles,Pink Floyd,Queen,Led Zeppelin,3
¿Qué canción ganó el Oscar a Mejor Canción Original por la película 'Titanic'?,My Heart Will Go On,Because You Loved Me,I Will Always Love You,Can’t Help Falling in Love,1
¿Qué artista compuso la banda sonora de 'El Rey León' de Disney (1994)?,Hans Zimmer,John Williams,Danny Elfman,Alan Silvestri,1
¿Quién canta 'Shallow' canción ganadora del Oscar por 'A Star Is Born'?,Adele y Sam Smith,Taylor Swift y Ed Sheeran,Rihanna y Eminem,Lady Gaga y Bradley Cooper,4
¿Cuál de estas películas tiene música compuesta por John Williams?,Jurassic Park,Titanic,Pirates of the Caribbean,Avatar,1
¿Qué canción famosa aparece en 'Pulp Fiction' durante el baile de Travolta y Thurman?,You Never Can Tell,Stayin’ Alive,Bohemian Rhapsody,Dancing Queen,1
¿Qué película animada tiene la canción 'Let It Go'?,Moana,Frozen,Enredados,Valiente,2
¿Qué canción de Eminem ganó un Oscar por su uso en una película?,Lose Yourself,Not Afraid,Love the Way You Lie,Mockingbird,1
¿Qué película incluye la canción 'Eye of the Tiger'?,Rambo,Karate Kid,Rocky III,Top Gun,3
¿Quién compuso la música de la saga 'El Señor de los Anillos'?,John Williams,Hans Zimmer,James Newton Howard,Howard Shore,4
¿Qué cantante interpreta la canción principal de 'Skyfall' de James Bond?,Sia,Alicia Keys,Adele,Beyoncé,3
¿Cuál de estas películas tiene una banda sonora compuesta por Hans Zimmer?,Interstellar,Titanic,Harry Potter y la Piedra Filosofal,Amélie,1
¿Qué película animada incluye la canción 'Remember Me'?,Frozen,Soul,Coco,Encanto,3
¿Qué canción se hizo famosa por su uso en la película 'Dirty Dancing'?,Footloose,(I've Had) The Time of My Life,You're the One That I Want,Take My Breath Away,2
¿Qué película de Disney presenta la canción 'Circle of Life'?,Aladdin,Tarzán,Pocahontas,El Rey León,4
¿Quién compuso la música de 'La La Land'?,John Legend,Hans Zimmer,Justin Hurwitz,Lin-Manuel Miranda,3
¿Qué película ganó el Oscar a Mejor Canción Original con 'City of Stars'?,Whiplash,Moulin Rouge!,La La Land,Chicago,3
¿Qué artista interpretó 'Into the Unknown' de 'Frozen 2'?,Kristen Bell,Lea Michele,Adele Dazeem,Idina Menzel,4
¿Qué grupo compuso gran parte de la banda sonora de 'Saturday Night Fever'?,ABBA,Bee Gees,Queen,The Rolling Stones,2
¿Qué tema musical está asociado con la película 'Top Gun'?,Sweet Child O' Mine,Eye of the Tiger,Danger Zone,Highway to Hell,3
¿Quién canta 'I Will Always Love You' en la película 'The Bodyguard'?,Toni Braxton,Aretha Franklin,Whitney Houston,Mariah Carey,3
¿Qué película popularizó la canción 'Lose Yourself' de Eminem?,Get Rich or Die Tryin’,Notorious,8 Mile,Straight Outta Compton,3
¿Qué musical de cine incluye la canción 'Do-Re-Mi'?,Grease,La novicia rebelde,Mary Poppins,Annie,2
¿Cuál de estas canciones es del álbum BRAT de Charli XCX?,Party 4 u,365,Track 10,Excile,2